#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-13T01:25:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ613ea88527e979	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/830/51&tab:{J/ApJ/830/51/cdfsz}&key:source=J/ApJ/830/51/cdfsz&HTTPPRM:&
#-source=J/ApJ/830/51/cdfsz
#-order=I
#-out=Seq
#-out=zpk
#

#RESOURCE=yCat_18300051
#Name: J/ApJ/830/51
#Title: FourStar galaxy evolution survey (ZFOURGE) (Straatman+, 2016)
#Table	J_ApJ_830_51_cdfsz:
#Name: J/ApJ/830/51/cdfsz
#Title: CDFS EAZY photometric redshift catalog and spectroscopic redshifts (cdfszout and cdfszsp)
#Column	Seq	(I5)	[1/30911] Running sequence number	[ucd=meta.id;meta.main]
#Column	zpk	(F8.4)	[/9.9]? Default derived photometric redshift	[ucd=src.redshift;pos.heliocentric]
Seq	zpk
 	
-----	--------
    1	  0.6165
    2	  0.4341
    3	  0.9542
    4	  3.8120
    5	  4.8653
    6	  1.1215
    7	  0.9551
    8	  1.6443
    9	  0.6307
   10	  0.9457
   11	  3.2509
   12	  1.2036
   13	  3.5780
   14	  0.4778
   15	  2.2976
   16	  2.3833
   17	  1.6440
   18	  2.6373
   19	  2.1898
   20	  1.4794
   21	  1.1227
   22	  2.2441
   23	  2.9277
   24	  0.4912
   25	  1.0578
   26	  0.6177
   27	  0.5246
   28	  2.9663
   29	  0.6634
   30	  1.1693
   31	  3.5086
   32	  0.0807
   33	  2.3435
   34	  0.1408
   35	  2.1332
   36	  2.6340
   37	  0.6478
   38	  0.6473
   39	  3.6716
   40	  0.7190
   41	  1.2457
   42	  0.9432
   43	  1.2774
   44	  0.0604
   45	  1.0663
   46	  1.1441
   47	  0.7967
   48	  1.5126
   49	  1.5676
   50	  0.4320
   51	  0.6619
   52	  0.7714
   53	  2.7534
   54	  1.0921
   55	  3.1569
   56	  0.7439
   57	  0.8206
   58	  1.3663
   59	  1.1633
   60	  1.4630
   61	  0.7651
   62	  3.6470
   63	  0.7459
   64	  7.3259
   65	  2.8334
   66	  0.4714
   67	  0.6943
   68	  0.7752
   69	  3.9898
   70	  0.3964
   71	  3.6643
   72	  1.9126
   73	  0.9925
   74	  4.0069
   75	  3.6965
   76	  2.9400
   77	  3.6986
   78	  0.1804
   79	  0.1813
   80	  1.3505
   81	  1.2655
   82	  0.6763
   83	  1.1986
   84	  1.5421
   85	  0.3429
   86	  0.6812
   87	  1.3035
   88	  2.9143
   89	  0.0050
   90	  0.9278
   91	  2.3994
   92	  1.9157
   93	  3.3280
   94	  0.9978
   95	  0.9808
   96	  1.5871
   97	  0.7718
   98	  0.7531
   99	  1.3569
  100	  1.8310
  101	  0.6838
  102	  1.7095
  103	  1.2315
  104	  2.9296
  105	  0.7606
  106	  1.9912
  107	  0.0050
  108	  4.2059
  109	  2.3334
  110	  0.6908
  111	  2.3408
